#age,value
0,-2.16583
1,-5.51465
2,-5.51465
3,-5.51465
4,-5.51465
5,-4.39268
6,-4.39268
7,-4.39268
8,-4.39268
9,-4.39268
10,-3.69225
11,-3.69225
12,-3.69225
13,-3.69225
14,-3.69225
15,-2.94252
16,-2.94252
17,-2.94252
18,-2.94252
19,-2.94252
20,-2.74829
21,-2.74829
22,-2.74829
23,-2.74829
24,-2.67206
25,-2.67206
26,-2.67206
27,-2.67206
28,-2.67206
29,-2.51872
30,-2.51872
31,-2.51872
32,-2.51872
33,-2.51872
34,-2.18575
35,-2.18575
36,-2.18575
37,-2.18575
38,-2.18575
39,-2.67206
40,-1.64691
41,-1.64691
42,-1.64691
43,-1.64691
44,-1.64691
45,-0.93877
46,-0.93877
47,-0.93877
48,-0.93877
49,-0.93877
50,-0.38269
51,-0.38269
52,-0.38269
53,-0.38269
54,-0.38269
55,0.04832
56,0.04832
57,0.04832
58,0.04832
59,0.04832
60,0.48768
61,0.48768
62,0.48768
63,0.48768
64,0.48768
65,0.93302
66,0.93302
67,0.93302
68,0.93302
69,0.93302
70,1.32649
71,1.32649
72,1.32649
73,1.32649
74,1.32649
75,1.82189
76,1.82189
77,1.82189
78,1.82189
79,1.82189
80,2.29
81,2.29
82,2.29
83,2.29
84,2.29
85,2.29
86,2.29
87,2.29
88,2.29
89,2.29
90,2.29
91,2.29
92,2.29
93,2.29
94,2.29
95,2.29
96,2.29
97,2.29
98,2.29
99,2.29
100,2.29
